timestamp,count,id,Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
1590700516.285871,0,1cfd083f,8,   7.968825,0.83125149,2.22744001,   0.00000,0
1590700516.286362,1,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.03125,0
1590700547.745959,4,1cfd083f,8,   7.921949,0.83094627,2.22695173,   0.00000,0
1590700547.746527,5,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1590700579.207345,8,1cfd083f,8,   7.921949,0.83094627,2.22695173,   0.00000,0
1590700579.207905,9,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1590700610.669481,12,1cfd083f,8,   7.921949,0.83094627,2.22695173,   0.00000,0
1590700610.670060,13,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1590700642.130092,16,1cfd083f,8,   7.937574,0.83021373,2.22670759,   0.00000,0
1590700642.130659,17,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.75000,0
1590700673.591482,20,1cfd083f,8,   7.937574,0.83021373,2.22670759,   0.00000,0
1590700673.592033,21,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1590700705.053213,24,1cfd083f,8,   7.937574,0.83021373,2.22670759,   0.00000,0
1590700705.053801,25,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1590700736.514208,28,1cfd083f,8,   7.937574,0.83021373,2.22670759,   0.00000,0
1590700736.514789,29,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1590700767.975586,32,1cfd083f,8,   0.515630,0.83119045,2.22756209,   0.00000,0
1590700767.976164,33,18feee3f,8,   0.000000,0.00000000,0.00000000,  78.43750,0
1590700799.436966,36,1cfd083f,8,   0.515630,0.83119045,2.22756209,   0.00000,0
1590700799.437536,37,18feee3f,8,   0.000000,0.00000000,0.00000000,  78.43750,0
1590700830.898333,40,1cfd083f,8,   0.515630,0.83119045,2.22756209,   0.00000,0
1590700830.898904,41,18feee3f,8,   0.000000,0.00000000,0.00000000,  78.43750,0
