Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
8.519490559895834e-06,7.890699,0.83143463,2.22316751,80.96875,0.0
0.5243358174959819,7.890699,0.83079366,2.22206887,81.03125,0.0
1.0486889163653055,7.890699,0.83079366,2.22206887,81.03125,0.0
1.573055919011434,7.890699,0.83079366,2.22206887,81.03125,0.0
2.0973971009254457,7.859449,0.83036634,2.22304544,81.0625,0.0
2.621750553448995,7.859449,0.83036634,2.22304544,81.0625,0.0
3.146112318833669,7.859449,0.83036634,2.22304544,81.0625,0.0
3.6704629341761272,7.859449,0.83036634,2.22304544,81.0625,0.0
4.194819633165995,7.875074,0.8301832,2.22182472,81.09375,0.0
4.719176236788432,7.875074,0.8301832,2.22182472,81.09375,0.0
5.243532486756643,7.875074,0.8301832,2.22182472,81.09375,0.0
5.767888617515564,7.859449,0.83048843,2.22231301,81.03125,0.0
6.292244533697764,7.859449,0.83048843,2.22231301,81.03125,0.0
6.816600533326467,7.859449,0.83048843,2.22231301,81.03125,0.0
7.340956469376882,7.859449,0.83048843,2.22231301,81.03125,0.0
7.865313502152761,7.859449,0.83070209,2.22292337,80.9375,0.0
8.38966821829478,7.859449,0.83070209,2.22292337,80.9375,0.0
8.914023753007253,7.859449,0.83070209,2.22292337,80.9375,0.0
9.438379569848378,7.843824,0.83058,2.22219094,80.78125,0.0
9.96276783545812,7.843824,0.83058,2.22219094,80.78125,0.0
10.48708995183309,7.843824,0.83058,2.22219094,80.78125,0.0
11.011457935969036,7.906324,0.83027477,2.22182472,80.59375,0.0
11.53582665125529,7.906324,0.83027477,2.22182472,80.59375,0.0
12.060155566533407,7.906324,0.83027477,2.22182472,80.59375,0.0
12.584517300128937,7.9532,0.83036634,2.22231301,80.4375,0.0
13.108885566393534,7.9532,0.83036634,2.22231301,80.4375,0.0
13.633221169312796,7.9532,0.83036634,2.22231301,80.4375,0.0
14.157576449712117,7.9532,0.83036634,2.22231301,80.4375,0.0
14.681943968931835,7.968825,0.83064104,2.22304544,80.375,0.0
15.206286334991455,7.968825,0.83064104,2.22304544,80.375,0.0
