timestamp,count,id,dlc,Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
1591200064.089892,0,1cfd083f,8,   7.718822,0.81711955,2.16188758,   0.00000,0
1591200064.090275,1,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.06250,0
1591200095.551044,4,1cfd083f,8,   7.718822,0.81711955,2.16188758,   0.00000,0
1591200095.551592,5,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.06250,0
1591200127.012351,8,1cfd083f,8,   7.687572,0.81849306,2.16200965,   0.00000,0
1591200127.012922,9,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.62500,0
1591200158.473679,12,1cfd083f,8,   7.687572,0.81849306,2.16200965,   0.00000,0
1591200158.474243,13,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.59375,0
1591200189.934980,16,1cfd083f,8,   7.687572,0.81849306,2.16200965,   0.00000,0
1591200189.935545,17,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.59375,0
1591200221.396656,20,1cfd083f,8,   7.687572,0.81849306,2.16200965,   0.00000,0
1591200221.397196,21,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.59375,0
1591200252.857586,24,1cfd083f,8,   7.796948,0.81840149,2.16213172,   0.00000,0
1591200252.858167,25,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1591200284.318900,28,1cfd083f,8,   7.796948,0.81840149,2.16213172,   0.00000,0
1591200284.319477,29,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1591200315.780193,32,1cfd083f,8,   7.796948,0.81840149,2.16213172,   0.00000,0
1591200315.780791,33,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1591200347.241513,36,1cfd083f,8,   7.796948,0.81840149,2.16213172,   0.00000,0
1591200347.242091,37,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.78125,0
1591200378.702812,40,1cfd083f,8,   7.875074,0.81882881,2.16286415,   0.00000,0
1591200378.703395,41,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.75000,0
1591200410.164131,44,1cfd083f,8,   7.875074,0.81882881,2.16286415,   0.00000,0
1591200410.164702,45,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.75000,0
1591200441.625426,48,1cfd083f,8,   7.875074,0.81882881,2.16286415,   0.00000,0
1591200441.626019,49,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.75000,0
1591200473.086743,52,1cfd083f,8,   7.906324,0.82008024,2.16469523,   0.00000,0
1591200473.087295,53,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.56250,0
1591200504.548026,56,1cfd083f,8,   7.906324,0.82008024,2.16469523,   0.00000,0
1591200504.548622,57,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.59375,0
1591200536.009335,60,1cfd083f,8,   7.906324,0.82008024,2.16469523,   0.00000,0
1591200536.009921,61,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.59375,0
1591200567.470648,64,1cfd083f,8,   7.906324,0.81931717,2.16396280,   0.00000,0
1591200567.471227,65,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591200598.931944,68,1cfd083f,8,   7.906324,0.81931717,2.16396280,   0.00000,0
1591200598.932525,69,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200630.395248,72,1cfd083f,8,   7.906324,0.81931717,2.16396280,   0.00000,0
1591200630.395792,73,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200661.854596,76,1cfd083f,8,   7.906324,0.81931717,2.16396280,   0.00000,0
1591200661.855155,77,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200693.315857,80,1cfd083f,8,   7.828198,0.81943926,2.16384072,   0.00000,0
1591200693.316448,81,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200724.778763,84,1cfd083f,8,   7.828198,0.81943926,2.16384072,   0.00000,0
1591200724.779317,85,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200756.238503,88,1cfd083f,8,   7.828198,0.81943926,2.16384072,   0.00000,0
1591200756.239059,89,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.00000,0
1591200787.699815,92,1cfd083f,8,   7.750073,0.81901195,2.16335244,   0.00000,0
1591200787.700375,93,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591200819.162264,96,1cfd083f,8,   7.750073,0.81901195,2.16335244,   0.00000,0
1591200819.162846,97,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591200850.622415,100,1cfd083f,8,   7.750073,0.81901195,2.16335244,   0.00000,0
1591200850.622989,101,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591200882.083747,104,1cfd083f,8,   7.750073,0.81901195,2.16335244,   0.00000,0
1591200882.084295,105,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591200913.545794,108,1cfd083f,8,   7.687572,0.81934769,2.16152136,   0.00000,0
1591200913.546374,109,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.18750,0
1591200945.006352,112,1cfd083f,8,   7.687572,0.81934769,2.16152136,   0.00000,0
1591200945.006930,113,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.18750,0
1591200976.467652,116,1cfd083f,8,   7.687572,0.81934769,2.16152136,   0.00000,0
1591200976.468288,117,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.18750,0
1591201007.929326,120,1cfd083f,8,   7.687572,0.81934769,2.16188758,   0.00000,0
1591201007.929917,121,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.06250,0
1591201039.390288,124,1cfd083f,8,   7.687572,0.81934769,2.16188758,   0.00000,0
1591201039.390890,125,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.06250,0
1591201070.851600,128,1cfd083f,8,   7.687572,0.81934769,2.16188758,   0.00000,0
1591201070.852169,129,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.06250,0
1591201102.312907,132,1cfd083f,8,   7.781323,0.81754686,2.16274208,   0.00000,0
1591201102.313470,133,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201133.774235,136,1cfd083f,8,   7.781323,0.81754686,2.16274208,   0.00000,0
1591201133.774782,137,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201165.235534,140,1cfd083f,8,   7.781323,0.81754686,2.16274208,   0.00000,0
1591201165.236107,141,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201196.698812,144,1cfd083f,8,   7.750073,0.81824888,2.16237587,   0.00000,0
1591201196.699382,145,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201228.158246,148,1cfd083f,8,   7.750073,0.81824888,2.16237587,   0.00000,0
1591201228.158810,149,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201259.619644,152,1cfd083f,8,   7.750073,0.81824888,2.16237587,   0.00000,0
1591201259.620228,153,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201291.081016,156,1cfd083f,8,   7.750073,0.81824888,2.16237587,   0.00000,0
1591201291.081615,157,18feee3f,8,   0.000000,0.00000000,0.00000000,  79.93750,0
1591201322.542407,160,1cfd083f,8,   7.765698,0.81922560,2.16249794,   0.00000,0
1591201322.542986,161,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.03125,0
1591201354.003814,164,1cfd083f,8,   7.765698,0.81922560,2.16249794,   0.00000,0
1591201354.004350,165,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.09375,0
1591201385.465182,168,1cfd083f,8,   7.765698,0.81922560,2.16249794,   0.00000,0
1591201385.465756,169,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.09375,0
1591201416.928530,172,1cfd083f,8,   7.765698,0.81922560,2.16249794,   0.00000,0
1591201416.929069,173,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.09375,0
1591201448.387936,176,1cfd083f,8,   7.765698,0.81922560,2.16249794,   0.00000,0
1591201448.388479,177,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.09375,0
1591201479.849277,180,1cfd083f,8,   7.765698,0.81943926,2.16335244,   0.00000,0
1591201479.849875,181,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591201511.312224,184,1cfd083f,8,   7.765698,0.81943926,2.16335244,   0.00000,0
1591201511.312797,185,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591201542.772027,188,1cfd083f,8,   7.765698,0.81943926,2.16335244,   0.00000,0
1591201542.772574,189,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.28125,0
1591201574.233717,192,1cfd083f,8,   7.718822,0.81867620,2.16237587,   0.00000,0
1591201574.234295,193,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201605.695902,196,1cfd083f,8,   7.718822,0.81867620,2.16237587,   0.00000,0
1591201605.696508,197,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201637.156075,200,1cfd083f,8,   7.718822,0.81867620,2.16237587,   0.00000,0
1591201637.156647,201,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201668.617450,204,1cfd083f,8,   7.671947,0.81864567,2.16225379,   0.00000,0
1591201668.617987,205,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201700.079560,208,1cfd083f,8,   7.671947,0.81864567,2.16225379,   0.00000,0
1591201700.080120,209,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201731.540125,212,1cfd083f,8,   7.671947,0.81864567,2.16225379,   0.00000,0
1591201731.540698,213,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201763.001500,216,1cfd083f,8,   7.671947,0.81864567,2.16225379,   0.00000,0
1591201763.002067,217,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201794.462822,220,1cfd083f,8,   7.687572,0.81873724,2.16176551,   0.00000,0
1591201794.463387,221,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201825.924177,224,1cfd083f,8,   7.687572,0.81873724,2.16176551,   0.00000,0
1591201825.924747,225,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201857.385530,228,1cfd083f,8,   7.687572,0.81873724,2.16176551,   0.00000,0
1591201857.386087,229,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
1591201888.846883,232,1cfd083f,8,   7.671947,0.81858463,2.16127722,   0.00000,0
1591201888.847453,233,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201920.308207,236,1cfd083f,8,   7.671947,0.81858463,2.16127722,   0.00000,0
1591201920.308782,237,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201951.769554,240,1cfd083f,8,   7.671947,0.81858463,2.16127722,   0.00000,0
1591201951.770139,241,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.40625,0
1591201983.232844,244,1cfd083f,8,   7.718822,0.81818784,2.16091101,   0.00000,0
1591201983.233426,245,18feee3f,8,   0.000000,0.00000000,0.00000000,  80.37500,0
