Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
7.39892323811849e-06,6.828189,0.81458617,2.1532205,80.71875,0.0
0.5243605693181356,6.828189,0.81458617,2.1532205,80.6875,0.0
1.0487146655718484,6.828189,0.81458617,2.1532205,80.6875,0.0
1.5730742692947388,6.828189,0.81458617,2.1532205,80.6875,0.0
2.0974212010701496,7.125067,0.81635648,2.15956822,77.8125,0.0
2.621775233745575,7.125067,0.81635648,2.15956822,77.8125,0.0
3.1461289008458455,7.125067,0.81635648,2.15956822,77.8125,0.0
3.6704820513725283,7.625071,0.81916456,2.16542766,76.25,0.0
4.194835384686788,7.625071,0.81916456,2.16542766,76.25,0.0
4.719189282258352,7.625071,0.81916456,2.16542766,76.25,0.0
5.243542734781901,0.671881,0.82218629,2.17165331,76.21875,0.0
5.767895682652791,0.671881,0.82218629,2.17165331,76.25,0.0
6.292249317963918,0.671881,0.82218629,2.17165331,76.25,0.0
6.8166026671727495,0.671881,0.82218629,2.17165331,76.25,0.0
7.34095573425293,8.50008,0.82291883,2.17568167,77.625,0.0
7.865309250354767,8.50008,0.82291883,2.17568167,77.625,0.0
8.38969513575236,8.50008,0.82291883,2.17568167,77.625,0.0
8.914015932877858,8.468829,0.82322406,2.17714653,-250.875,0.0
9.438368833065033,8.468829,0.82322406,2.17714653,-250.875,0.0
9.962748452027638,8.468829,0.82322406,2.17714653,-250.875,0.0
10.487075618902843,0.671881,0.82233891,2.17616995,80.375,0.0
11.011429067452749,0.671881,0.82233891,2.17616995,80.375,0.0
11.535804617404938,0.671881,0.82233891,2.17616995,80.375,0.0
12.060141718387603,7.859449,0.82093487,2.17226366,80.84375,0.0
12.584496716658274,7.859449,0.82093487,2.17226366,80.84375,0.0
13.10886516571045,7.859449,0.82093487,2.17226366,80.84375,0.0
13.633207484086354,7.703197,0.81821836,2.17104295,80.71875,0.0
14.157562998930613,7.703197,0.81821836,2.17104295,80.6875,0.0
14.681924617290496,7.703197,0.81821836,2.17104295,80.6875,0.0
15.206273635228476,7.531321,0.81910351,2.16701459,80.25,0.0
15.73062911828359,7.531321,0.81910351,2.16701459,80.25,0.0
16.254983818531038,7.531321,0.81910351,2.16701459,80.25,0.0
16.77933891614278,7.578196,0.81882881,2.16835737,79.5625,0.0
17.303693902492522,7.578196,0.81882881,2.16835737,79.53125,0.0
17.82804846763611,7.578196,0.81882881,2.16835737,79.53125,0.0
18.352403418223062,7.578196,0.81882881,2.16835737,79.53125,0.0
18.876757951577506,7.718822,0.81888986,2.16677044,-250.90625,0.0
19.40111258427302,7.718822,0.81888986,2.16677044,-250.90625,0.0
19.925467785199483,7.718822,0.81888986,2.16677044,-250.90625,0.0
20.449822068214417,7.796948,0.82020233,2.16896773,-250.96875,0.0
20.97417628367742,7.796948,0.82020233,2.16896773,-250.96875,0.0
21.49856343269348,7.796948,0.82020233,2.16896773,-250.96875,0.0
22.02288506825765,7.875074,0.05158313,2.17043259,-250.84375,0.0
22.5472394824028,7.875074,0.05158313,2.17043259,-250.84375,0.0
23.07162013451258,7.875074,0.05158313,2.17043259,-250.84375,0.0
23.59594805240631,7.937574,0.82001919,2.16896773,79.625,0.0
24.12030239899953,7.937574,0.82001919,2.16896773,79.625,0.0
24.64467623233795,7.937574,0.82001919,2.16896773,79.625,0.0
