timestamp,count,id,dlc,Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
1592253067.304734,0,1cfd083f,8,  33.578440,0.86629140,2.74819735,   0.00000,0
1592253067.306721,1,18feee3f,8,   0.000000,0.00000000,0.00000000,  71.78125,0
1592253098.765706,4,1cfd083f,8,  20.906446,0.86201824,2.70766959,   0.00000,0
1592253098.766283,5,18feee3f,8,   0.000000,0.00000000,0.00000000,  85.62500,0
1592253130.226906,8,1cfd083f,8,  20.906446,0.86201824,2.70766959,   0.00000,0
1592253130.227471,9,18feee3f,8,   0.000000,0.00000000,0.00000000,  86.00000,0
1592253161.688142,12,1cfd083f,8,  20.906446,0.86201824,2.70766959,   0.00000,0
1592253161.688721,13,18feee3f,8,   0.000000,0.00000000,0.00000000,  86.00000,0
1592253193.149386,16,1cfd083f,8,  20.906446,0.86201824,2.70766959,   0.00000,0
1592253193.149940,17,18feee3f,8,   0.000000,0.00000000,0.00000000,  86.00000,0
1592253224.612626,20,1cfd083f,8,  12.984497,0.05274299,2.65285945,   0.00000,0
1592253224.613197,21,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.06250,0
1592253256.071931,24,1cfd083f,8,  12.984497,0.05274299,2.65285945,   0.00000,0
1592253256.072504,25,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.12500,0
1592253287.533258,28,1cfd083f,8,  12.984497,0.05274299,2.65285945,   0.00000,0
1592253287.533830,29,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.12500,0
1592253318.994555,32,1cfd083f,8,  12.984497,0.05274299,2.65285945,   0.00000,0
1592253318.995133,33,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.12500,0
1592253350.455875,36,1cfd083f,8,   8.984459,0.83323546,2.59194574,   0.00000,0
1592253350.456441,37,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.65625,0
1592253381.917204,40,1cfd083f,8,   8.984459,0.83323546,2.59194574,   0.00000,0
1592253381.917768,41,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.65625,0
1592253413.378533,44,1cfd083f,8,   8.984459,0.83323546,2.59194574,   0.00000,0
1592253413.379089,45,18feee3f,8,   0.000000,0.00000000,0.00000000,  90.65625,0
1592253444.839826,48,1cfd083f,8,   8.250077,0.05210202,2.57180393,   0.00000,0
1592253444.840397,49,18feee3f,8,   0.000000,0.00000000,0.00000000,  89.71875,0
1592253476.301176,52,1cfd083f,8,   8.250077,0.05210202,2.57180393,   0.00000,0
1592253476.301737,53,18feee3f,8,   0.000000,0.00000000,0.00000000,  89.65625,0
1592253507.762503,56,1cfd083f,8,   8.250077,0.05210202,2.57180393,   0.00000,0
1592253507.763060,57,18feee3f,8,   0.000000,0.00000000,0.00000000,  89.65625,0
