Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
4.3352444966634115e-06,2.500023,0.05326187,2.32253377,-250.84375,0.0
0.5243582526842753,2.500023,0.05326187,2.32253377,-250.84375,0.0
1.0487122337023418,1.656266,0.8393705,2.28627851,89.71875,0.0
1.5730664014816285,1.656266,0.8393705,2.28627851,89.71875,0.0
2.0974207202593487,1.656266,0.8393705,2.28627851,89.71875,0.0
2.621775817871094,1.656266,0.8393705,2.28627851,89.71875,0.0
3.14613098303477,13.953256,0.05216306,2.24245482,92.25,0.0
3.670485452810923,13.953256,0.05216306,2.24245482,92.25,0.0
4.194840602080027,13.953256,0.05216306,2.24245482,92.25,0.0
4.719214868545532,10.984478,0.82105696,2.21218107,92.65625,0.0
5.243583452701569,10.984478,0.82105696,2.21218107,92.5625,0.0
5.767905735969544,10.984478,0.82105696,2.21218107,92.5625,0.0
6.292260336875915,10.984478,0.82105696,2.21218107,92.5625,0.0
6.816641449928284,10.984478,0.82105696,2.21218107,92.5625,0.0
7.340969836711883,10.468848,0.81870672,2.2013167,91.125,0.0
7.865325033664703,10.468848,0.81870672,2.2013167,91.125,0.0
8.389698867003123,10.468848,0.81870672,2.2013167,91.125,0.0
8.91403458515803,10.375097,0.81873724,2.19618969,89.375,0.0
9.43838871717453,10.375097,0.81873724,2.19618969,89.34375,0.0
9.962756367524465,10.375097,0.81873724,2.19618969,89.34375,0.0
10.487098650137584,10.375097,0.81873724,2.19618969,89.34375,0.0
11.011453636487325,10.765726,0.82029389,2.19509105,86.625,0.0
11.535814785957337,10.765726,0.82029389,2.19509105,86.625,0.0
12.060163501898447,10.765726,0.82029389,2.19509105,86.625,0.0
12.584518067042033,11.312606,0.82099591,2.19252754,83.8125,0.0
13.108872934182484,11.312606,0.82099591,2.19252754,83.65625,0.0
13.633227670192719,11.312606,0.82099591,2.19252754,83.65625,0.0
14.15758406718572,11.312606,0.82099591,2.19252754,83.65625,0.0
14.681970485051473,0.937509,0.82288831,2.19765455,80.84375,0.0
15.206292736530305,0.937509,0.82288831,2.19765455,80.8125,0.0
15.730647218227386,0.937509,0.82288831,2.19765455,80.8125,0.0
16.255002335707346,0.937509,0.82288831,2.19765455,80.8125,0.0
16.779357119401297,13.015747,0.825849,2.2030257,77.875,0.0
17.30371251900991,13.015747,0.825849,2.2030257,77.875,0.0
17.828066885471344,13.015747,0.825849,2.2030257,77.875,0.0
18.352454435825347,13.015747,0.825849,2.2030257,77.875,0.0
18.876776683330537,14.234508,0.82636788,2.20851892,75.8125,0.0
19.401131216684977,14.234508,0.82636788,2.20851892,75.8125,0.0
19.925511769453685,14.234508,0.82636788,2.20851892,75.8125,0.0
20.44984061717987,15.203268,0.82887073,2.21645357,75.75,0.0
20.97419493595759,15.203268,0.82887073,2.21645357,75.75,0.0
21.49856823682785,15.203268,0.82887073,2.21645357,75.75,0.0
22.022902917861938,15.203268,0.82887073,2.21645357,75.75,0.0
22.547257566452025,15.953275,0.83189247,2.22145851,77.21875,0.0
23.071624449888866,15.953275,0.83189247,2.22145851,77.21875,0.0
23.595965818564096,15.953275,0.83189247,2.22145851,77.21875,0.0
24.120320200920105,1.000009,0.83115993,2.22255715,-250.875,0.0
24.64468040068944,1.000009,0.83115993,2.22255715,-250.8125,0.0
