timestamp,count,id,dlc,Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
1593543402.539115,0,1cfd083f,8,   6.718813,0.80597881,2.14443134,   0.00000,0
1593543402.539543,1,18feee3f,8,   0.000000,0.00000000,0.00000000,  81.71875,0
1593543434.000842,4,1cfd083f,8,   7.156317,0.80759651,2.14797142,   0.00000,0
1593543434.001406,5,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.68750,0
1593543465.463030,8,1cfd083f,8,   7.156317,0.80759651,2.14797142,   0.00000,0
1593543465.463589,9,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.84375,0
1593543496.924447,12,1cfd083f,8,   7.156317,0.80759651,2.14797142,   0.00000,0
1593543496.925016,13,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.84375,0
1593543528.386204,16,1cfd083f,8,   7.156317,0.80759651,2.14797142,   0.00000,0
1593543528.386760,17,18feee3f,8,   0.000000,0.00000000,0.00000000,-250.84375,0
1593543559.847928,20,1cfd083f,8,   7.578196,0.81022145,2.15053492,   0.00000,0
1593543559.848502,21,18feee3f,8,   0.000000,0.00000000,0.00000000,  76.78125,0
1593543591.309600,24,1cfd083f,8,   7.578196,0.81022145,2.15053492,   0.00000,0
1593543591.310175,25,18feee3f,8,   0.000000,0.00000000,0.00000000,  76.78125,0
1593543622.771278,28,1cfd083f,8,   7.578196,0.81022145,2.15053492,   0.00000,0
1593543622.771821,29,18feee3f,8,   0.000000,0.00000000,0.00000000,  76.78125,0
1593543654.232882,32,1cfd083f,8,   7.578196,0.81022145,2.15053492,   0.00000,0
1593543654.233469,33,18feee3f,8,   0.000000,0.00000000,0.00000000,  76.78125,0
1593543685.694479,36,1cfd083f,8,   0.625006,0.81113712,2.15383086,   0.00000,0
1593543685.695057,37,18feee3f,8,   0.000000,0.00000000,0.00000000,  75.93750,0
1593543717.156064,40,1cfd083f,8,   0.625006,0.81113712,2.15383086,   0.00000,0
1593543717.156629,41,18feee3f,8,   0.000000,0.00000000,0.00000000,  75.93750,0
