Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
6.830692291259765e-06,19.140804,0.83161776,2.21694186,-250.59375,0.0
0.524358348051707,19.140804,0.83161776,2.21694186,-250.59375,0.0
1.0487106800079347,19.140804,0.83161776,2.21694186,-250.59375,0.0
1.5730632980664572,11.093854,0.81901195,2.18288389,86.53125,0.0
2.0974159995714823,11.093854,0.81901195,2.18288389,86.53125,0.0
2.621768530209859,11.093854,0.81901195,2.18288389,86.53125,0.0
3.146121315161387,7.843824,0.8108319,2.15370878,88.34375,0.0
3.6704740643501284,7.843824,0.8108319,2.15370878,88.34375,0.0
4.194860299428304,7.843824,0.8108319,2.15370878,88.34375,0.0
4.7191801309585575,7.843824,0.8108319,2.15370878,88.34375,0.0
5.243533213933309,6.656312,0.80585672,2.13478769,88.0625,0.0
5.767912296454112,6.656312,0.80585672,2.13478769,88.0625,0.0
6.292239447434743,6.656312,0.80585672,2.13478769,88.0625,0.0
6.81660566329956,6.421935,0.80430007,2.12795168,86.5,0.0
7.340965163707733,6.421935,0.80430007,2.12795168,86.46875,0.0
7.865298716227214,6.421935,0.80430007,2.12795168,86.46875,0.0
8.389651314417522,6.421935,0.80430007,2.12795168,86.46875,0.0
8.914017697175344,6.500061,0.80475791,2.12795168,84.09375,0.0
9.43835769891739,6.500061,0.80475791,2.12795168,84.09375,0.0
9.962710932890575,6.500061,0.80475791,2.12795168,84.09375,0.0
10.487070381641388,6.500061,0.80475791,2.12795168,84.09375,0.0
11.01141744852066,6.734438,0.80607038,2.12782961,80.875,0.0
11.535770416259766,6.734438,0.80607038,2.12782961,80.8125,0.0
12.060123515129089,6.734438,0.80607038,2.12782961,80.8125,0.0
12.584476697444916,6.734438,0.80607038,2.12782961,80.8125,0.0
13.108833682537078,7.109442,0.80787121,2.13112554,77.8125,0.0
13.633190981547038,7.109442,0.80787121,2.13112554,77.78125,0.0
14.157547314961752,7.109442,0.80787121,2.13112554,77.78125,0.0
14.681903616587322,7.109442,0.80787121,2.13112554,77.78125,0.0
15.20626006523768,7.734448,0.80878689,2.13747326,75.78125,0.0
15.73061584631602,7.734448,0.80878689,2.13747326,75.78125,0.0
16.25497201283773,7.734448,0.80878689,2.13747326,75.78125,0.0
16.779346946875254,8.406329,0.81061824,2.14357684,75.625,0.0
17.303715781370798,8.406329,0.81061824,2.14357684,75.65625,0.0
17.828038748105367,8.406329,0.81061824,2.14357684,75.65625,0.0
18.352393813927968,8.406329,0.81061824,2.14357684,75.65625,0.0
18.876775081952413,8.843833,0.05109477,2.14711692,76.75,0.0
19.401104215780894,8.843833,0.05109477,2.14711692,76.75,0.0
19.925459714730582,8.843833,0.05109477,2.14711692,76.75,0.0
20.449814816315968,8.812583,0.81238855,2.14931421,78.34375,0.0
20.97416956424713,8.812583,0.81238855,2.14931421,78.4375,0.0
21.498524566491444,8.812583,0.81238855,2.14931421,78.4375,0.0
22.022892129421233,8.812583,0.81238855,2.14931421,78.4375,0.0
22.54723391532898,8.468829,0.81248012,2.14626242,79.875,0.0
23.071589132150013,8.468829,0.81248012,2.14626242,79.90625,0.0
23.595949614048003,8.468829,0.81248012,2.14626242,79.90625,0.0
24.120298631985982,8.468829,0.81248012,2.14626242,79.90625,0.0
24.644653113683066,0.609381,0.81141183,2.1450417,80.53125,0.0
25.169007448355355,0.609381,0.81141183,2.1450417,80.53125,0.0
25.693362482388814,0.609381,0.81141183,2.1450417,80.53125,0.0
26.21771706342697,7.921949,0.81019092,2.14186784,80.46875,0.0
26.74207159678141,7.921949,0.81019092,2.14186784,80.46875,0.0
27.266426281134287,7.921949,0.81019092,2.14186784,80.46875,0.0
27.790780580043794,7.921949,0.81019092,2.14186784,80.46875,0.0
28.315161029497784,7.781323,0.809611,2.14028091,79.96875,0.0
28.839489515622457,7.781323,0.809611,2.14028091,79.96875,0.0
29.36384366353353,7.781323,0.809611,2.14028091,79.96875,0.0
29.888197998205822,7.781323,0.809611,2.14028091,79.96875,0.0
30.412552348772685,7.781323,0.81000779,2.1399147,-250.65625,0.0
30.936906747023265,7.781323,0.81000779,2.1399147,-250.65625,0.0
31.46126077969869,7.781323,0.81000779,2.1399147,-250.65625,0.0
31.985615583260856,7.890699,0.81022145,2.14003677,-250.96875,0.0
32.50996979872386,7.890699,0.81022145,2.14003677,-250.96875,0.0
33.0343234817187,7.890699,0.81022145,2.14003677,-250.96875,0.0
33.55869711637497,7.890699,0.81022145,2.14003677,-250.96875,0.0
34.08303213119507,7.9532,0.81070981,2.14113541,-250.90625,0.0
34.6073863307635,7.9532,0.81070981,2.14113541,-250.90625,0.0
35.131753130753836,7.9532,0.81070981,2.14113541,-250.90625,0.0
35.65609453121821,7.9532,0.81070981,2.14113541,-250.90625,0.0
36.18044848044713,0.562505,0.81049615,2.14284441,-250.5625,0.0
36.704808580875394,0.562505,0.81049615,2.14284441,-250.5625,0.0
37.22915663321813,0.562505,0.81049615,2.14284441,-250.5625,0.0
37.75351089636485,7.968825,0.8115034,2.1433327,79.9375,0.0
38.277864714463554,7.968825,0.8115034,2.1433327,79.9375,0.0
38.8022187312444,7.968825,0.8115034,2.1433327,79.9375,0.0
39.32657305002213,7.890699,0.81168653,2.14223406,80.3125,0.0
39.85092661380768,7.890699,0.81168653,2.14223406,80.34375,0.0
40.37528109947841,7.890699,0.81168653,2.14223406,80.34375,0.0
40.899634929498035,7.890699,0.81168653,2.14223406,80.34375,0.0
41.42401506503423,7.875074,0.80985518,2.14101334,80.5625,0.0
41.94834289948145,7.875074,0.80985518,2.14101334,80.5625,0.0
42.47269736528396,7.875074,0.80985518,2.14101334,80.5625,0.0
42.997051080067955,7.875074,0.80985518,2.14101334,80.5625,0.0
43.5214052995046,7.765698,0.80970256,2.14125748,80.59375,0.0
44.045759149392445,7.765698,0.80970256,2.14125748,80.59375,0.0
44.5701133330663,7.765698,0.80970256,2.14125748,80.59375,0.0
45.09449334939321,7.765698,0.80970256,2.14125748,80.59375,0.0
45.618821032842,7.765698,0.80970256,2.13954848,80.375,0.0
46.14317534764608,7.765698,0.80970256,2.13954848,80.375,0.0
46.66754893064499,7.765698,0.80970256,2.13954848,80.375,0.0
47.191882999738056,7.812573,0.80900054,2.14101334,80.1875,0.0
47.71623678207398,7.812573,0.80900054,2.14101334,80.1875,0.0
48.24060326417287,7.812573,0.80900054,2.14101334,80.1875,0.0
48.76494448184967,7.812573,0.80900054,2.14101334,80.1875,0.0
49.28929808139801,7.812573,0.80900054,2.14101334,80.1875,0.0
49.81365806659063,7.796948,0.80945838,2.14089127,80.21875,0.0
50.338005630175275,7.796948,0.80945838,2.14089127,80.21875,0.0
50.862359130382536,7.796948,0.80945838,2.14089127,80.21875,0.0
51.38671332995097,7.859449,0.80939734,2.14235613,80.25,0.0
51.91106685002645,7.859449,0.80939734,2.14235613,80.25,0.0
52.43542068004608,7.859449,0.80939734,2.14235613,80.25,0.0
52.959807097911835,7.781323,0.81070981,2.13942641,80.1875,0.0
53.48412846326828,7.781323,0.81070981,2.13942641,80.1875,0.0
54.00848209857941,7.781323,0.81070981,2.13942641,80.1875,0.0
54.5328361471494,7.781323,0.81070981,2.13942641,80.1875,0.0
55.057189798355104,7.812573,0.80954995,2.13967055,80.1875,0.0
55.58154359658559,7.812573,0.80954995,2.13967055,80.1875,0.0
56.105897696812946,7.812573,0.80954995,2.13967055,80.1875,0.0
56.630251348018646,7.750073,0.81040458,2.14089127,80.15625,0.0
57.1546055316925,7.750073,0.81040458,2.14089127,80.125,0.0
57.678959131240845,7.750073,0.81040458,2.14089127,80.125,0.0
58.20333896478017,7.750073,0.81040458,2.14089127,80.125,0.0
58.727667164802554,7.812573,0.80967204,2.14089127,80.1875,0.0
59.25202069679896,7.812573,0.80967204,2.14089127,80.1875,0.0
59.7763941804568,7.812573,0.80967204,2.14089127,80.1875,0.0
60.300728698571525,7.812573,0.80967204,2.14089127,80.1875,0.0
60.82508259614308,7.796948,0.81052667,2.14101334,80.21875,0.0
61.34944931666056,7.796948,0.81052667,2.14101334,80.21875,0.0
61.87379018068314,7.796948,0.81052667,2.14101334,80.21875,0.0
62.39814403057098,7.812573,0.81006883,2.1416237,80.1875,0.0
62.9225040157636,7.812573,0.81006883,2.1416237,80.1875,0.0
63.44685159921646,7.812573,0.81006883,2.1416237,80.1875,0.0
63.971205830574036,7.812573,0.81006883,2.1416237,80.1875,0.0
64.49555946588517,7.859449,0.81028249,2.14211198,80.125,0.0
65.01991343100866,7.859449,0.81028249,2.14211198,80.125,0.0
65.54426751534145,7.859449,0.81028249,2.14211198,80.125,0.0
66.06862159967423,7.859449,0.81028249,2.14211198,80.125,0.0
66.59297501643499,7.796948,0.81006883,2.13967055,80.125,0.0
67.11732921600341,7.796948,0.81006883,2.13967055,80.125,0.0
67.64168309768041,7.796948,0.81006883,2.13967055,80.125,0.0
68.16603679656983,7.796948,0.81006883,2.13967055,80.125,0.0
68.69039124647776,7.828198,0.80994674,2.14186784,80.1875,0.0
69.2147449294726,7.828198,0.80994674,2.14186784,80.1875,0.0
69.73913154999416,7.828198,0.80994674,2.14186784,80.1875,0.0
70.26345261335373,7.828198,0.80994674,2.14186784,80.1875,0.0
70.78780679702759,7.843824,0.81009936,2.14089127,80.28125,0.0
71.31218643188477,7.843824,0.81009936,2.14089127,80.28125,0.0
71.83651446501413,7.843824,0.81009936,2.14089127,80.28125,0.0
72.3608745654424,7.812573,0.8101604,2.1407692,80.25,0.0
72.88524199724198,7.812573,0.8101604,2.1407692,80.25,0.0
73.4095764319102,7.812573,0.8101604,2.1407692,80.25,0.0
73.93393046458563,7.812573,0.8101604,2.1407692,80.25,0.0
74.45828423102697,7.843824,0.80958047,2.14028091,80.1875,0.0
74.98263778289159,7.843824,0.80958047,2.14028091,80.15625,0.0
75.50699194669724,7.843824,0.80958047,2.14028091,80.15625,0.0
76.03135158220927,7.843824,0.80958047,2.14028091,80.15625,0.0
76.55569963057836,7.859449,0.80954995,2.13967055,80.125,0.0
77.08005381425222,7.859449,0.80954995,2.13967055,80.125,0.0
77.60440763235093,7.859449,0.80954995,2.13967055,80.125,0.0
78.12876168092092,7.828198,0.80936682,2.1416237,80.15625,0.0
78.65311503012975,7.828198,0.80936682,2.1416237,80.125,0.0
79.1774692138036,7.828198,0.80936682,2.1416237,80.125,0.0
79.70182299613953,7.828198,0.80936682,2.1416237,80.125,0.0
80.22617739836375,7.843824,0.81022145,2.14089127,80.125,0.0
80.75053136348724,7.843824,0.81022145,2.14089127,80.125,0.0
81.27488246361415,7.843824,0.81022145,2.14089127,80.125,0.0
81.79923363129298,7.796948,0.81052667,2.1399147,80.15625,0.0
82.32358554999034,7.796948,0.81052667,2.1399147,80.1875,0.0
82.84796948035559,7.796948,0.81052667,2.1399147,80.1875,0.0
83.37228858073553,7.796948,0.81052667,2.1399147,80.1875,0.0
83.89664047956467,7.828198,0.81046563,2.14089127,80.15625,0.0
84.42101818323135,7.828198,0.81046563,2.14089127,80.15625,0.0
84.9453444480896,7.828198,0.81046563,2.14089127,80.15625,0.0
85.46970936457316,7.781323,0.8098857,2.1416237,80.1875,0.0
85.99406771659851,7.781323,0.8098857,2.1416237,80.21875,0.0
86.51840068101883,7.781323,0.8098857,2.1416237,80.21875,0.0
87.04275328318278,7.781323,0.8098857,2.1416237,80.21875,0.0
87.56711858113607,7.890699,0.80909211,2.14150163,80.3125,0.0
88.09145818154018,7.890699,0.80909211,2.14150163,80.3125,0.0
88.61581099828085,7.890699,0.80909211,2.14150163,80.3125,0.0
89.14016941388448,7.890699,0.80909211,2.14150163,80.3125,0.0
89.66451609929403,7.796948,0.81031302,2.14052505,80.25,0.0
90.18886922995249,7.796948,0.81031302,2.14052505,80.25,0.0
90.71322215000788,7.796948,0.81031302,2.14052505,80.25,0.0
91.23757451375326,7.796948,0.81031302,2.14052505,80.25,0.0
91.76192744970322,7.812573,0.80964152,2.14198991,80.21875,0.0
92.2862804333369,7.812573,0.80964152,2.14198991,80.21875,0.0
92.81063366333643,7.812573,0.80964152,2.14198991,80.21875,0.0
93.33498653173447,7.796948,0.8101604,2.14064713,80.15625,0.0
93.85933949947358,7.796948,0.8101604,2.14064713,80.15625,0.0
94.3836926817894,7.796948,0.8101604,2.14064713,80.15625,0.0
94.90804571310679,7.765698,0.8101604,2.14101334,80.15625,0.0
95.43239869674046,7.765698,0.8101604,2.14101334,80.15625,0.0
95.95678508281708,7.765698,0.8101604,2.14101334,80.15625,0.0
96.4811054666837,7.765698,0.8101604,2.14101334,80.15625,0.0
97.00545833110809,7.765698,0.8101604,2.14101334,80.15625,0.0
97.52983773152033,7.828198,0.81006883,2.14260027,80.1875,0.0
98.05416498184204,7.828198,0.81006883,2.14260027,80.1875,0.0
98.57851821581522,7.828198,0.81006883,2.14260027,80.1875,0.0
99.10287138223649,7.843824,0.80973309,2.14101334,80.1875,0.0
99.6272250811259,7.843824,0.80973309,2.14101334,80.1875,0.0
100.15157839854558,7.843824,0.80973309,2.14101334,80.1875,0.0
100.67593164841334,7.796948,0.80997727,2.14113541,80.0625,0.0
101.20028453270594,7.796948,0.80997727,2.14113541,80.09375,0.0
101.72463798125585,7.796948,0.80997727,2.14113541,80.09375,0.0
102.24899719953537,7.796948,0.80997727,2.14113541,80.09375,0.0
102.77334438165029,7.906324,0.80906159,2.14089127,79.96875,0.0
103.29769814809164,7.906324,0.80906159,2.14089127,79.96875,0.0
103.82205099662146,7.906324,0.80906159,2.14089127,79.96875,0.0
104.34640451669694,7.828198,0.81003831,2.14150163,79.90625,0.0
104.8707576473554,7.828198,0.81003831,2.14150163,79.90625,0.0
105.39511114756266,7.828198,0.81003831,2.14150163,79.90625,0.0
105.91946438153585,7.859449,0.81037406,2.13954848,80.125,0.0
106.44381721417109,7.859449,0.81037406,2.13954848,80.125,0.0
106.96817116340002,7.859449,0.81037406,2.13954848,80.125,0.0
107.49252458016078,7.859449,0.81037406,2.13954848,80.125,0.0
108.01687726577123,7.859449,0.8098857,2.14211198,80.40625,0.0
108.54123078187307,7.859449,0.8098857,2.14211198,80.40625,0.0
109.0656168659528,7.859449,0.8098857,2.14211198,80.40625,0.0
109.58993774652481,7.859449,0.8098857,2.14211198,80.40625,0.0
110.11429078181585,7.843824,0.81006883,2.14125748,80.53125,0.0
110.6386708498001,7.843824,0.81006883,2.14125748,80.53125,0.0
111.16299781401952,7.843824,0.81006883,2.14125748,80.53125,0.0
111.6873643318812,7.796948,0.80912264,2.14113541,80.65625,0.0
112.21172416607538,7.796948,0.80912264,2.14113541,80.6875,0.0
112.73605851332347,7.796948,0.80912264,2.14113541,80.6875,0.0
113.2604117155075,7.796948,0.80912264,2.14113541,80.6875,0.0
113.78476538260777,7.734448,0.80936682,2.14150163,80.78125,0.0
114.30911868015924,7.734448,0.80936682,2.14150163,80.78125,0.0
114.83347226381302,7.734448,0.80936682,2.14150163,80.78125,0.0
115.35781563123068,7.734448,0.80936682,2.14150163,80.78125,0.0
115.8821436325709,7.734448,0.80936682,2.14150163,80.78125,0.0
116.40647911628088,7.703197,0.80958047,2.14101334,80.875,0.0
116.93081506490708,7.703197,0.80958047,2.14101334,80.875,0.0
117.4551515976588,7.703197,0.80958047,2.14101334,80.875,0.0
117.97948942979177,7.718822,0.80979413,2.13954848,80.90625,0.0
118.50382741292317,7.718822,0.80979413,2.13954848,80.90625,0.0
119.02816676298777,7.718822,0.80979413,2.13954848,80.90625,0.0
119.55250644683838,7.718822,0.80979413,2.13954848,80.90625,0.0
